input,predicted_label
I believe they will master Japanese soon because they were selected as scholarship recipients .,0
I am looking for it .,1
"Apple is a round fruit with smooth and colorful skin , red , green and sometimes gold .",0
Let It Will Be Push .,0
I rode on this ship from Sendai .,1
I thought Korean is very interesting language when I was sutdying Korean .,0
Nobody is perfect .,1
Can you lend me some money ?,1
Does anyone correct my previous article ?XD,1
"Similarly , I want to thank and for all their help and the nice time spent together , and wish to continue being together .",1
I just hope everything is going to be OK .,1
I think that I will not go to that brand shoes shop forever !,1
"for example , one hospital in Japan has ' a baby post ' which mother who can not raise her baby can leave her baby , ",0
My sister is birthday coming .,0
"Tell me , please ",1
see you,1
"In order to solve the situation , we decided to have a lunch meeting every Monday .",1
This is my first topic in my diary .,1
it seemed what I did was nothing to do with them .,1
"To achieve the purpose , this week I am trying to speak to some foreigners , and I should reduce the occasions to talk with my Japanese friends .",1
The family will support you as what she has done .,1
Students who turn their efforts to studying at university and have an intention of continuing to play in the college sports team .,1
about my hometown,1
"As I expected , I could not do well in the interview .",1
I loved it .,1
and I am having a summer vacation right now .,1
Thank you in advance .,1
"I thought that a knowledge is meaningless , if I can not use it .",0
Japan won by - ! !,1
I am just an amateur on politics but I think it is high time for us to change our political system .,1
"The size of microscopic organisms is about more than m , therefore , they can not pass through the filter membrane .",1
I am and a senior high school student .,1
I always send her flowers as her birthday present .,1
I like overseas travel .,1
"Thanks to this job , I was busy the whole time today .",1
Hello everyone here !,0
January I work very hard to complete big subject .,0
My Former cram school teacher white e - mail to me .,0
Poor little boy .,1
But we will have series of holidays five days ! !,0
I just followed some people without knowing the case .,1
"Also , the home would be better noisy .",1
Good luck to them !,1
to go to an event such as a meeting or a class,1
These sentences were very profound .,1
The problem came into being in Tokyo .,1
It was fine today .,1
I love airplane and beach but Princess Juliana airport is very far from Japan .,0
I am looking forward to reading lots of interesting stories .,1
"Hi , cheese ! !",1
I got them . why ?,1
So I am learning to dance .,1
You might want to draw comics and posters,1
I have the person whom I am hard for to deal with .,1
Let is enjoy the show !,1
"I usually write journals with the iPad , but I am writing this journal with the PC .",1
Such people who are not be able to speak in a polite way never pass job interviews or entrance interviews for schools .,1
Because I already knew my mother would never allow a dog in the house .,1
"By the way , I found that a bicycle for the man had gloves , which I remembered with a nostalgic memory .",1
Then nobody was talking about what happened after that .,1
Because most groceries were very cheap .,1
If it was said you will die after a year by the doctor .,1
I digitized it and uploaded it to my YouTube channel .,1
After a time she heard a pattering of feet and dried her eyes hastily to see what was coming .,1
"He lose her , but he might have tenderness .",0
But I have eaten up all of the chocolate .,1
My Book is acknowledgement was written .,0
It is like me .,1
It made me very depressed .,1
Chances are not savings ! !,0
"But in this way , sometimes I get up too late to have breakfast .",1
After years I will go to Korea University .,0
Raising a tobacco is price ? ?,0
I am learning Korean language .,0
"So I realized that some people do not think I smell spring ! when they go outside in the day at the beginning of spring , like today .",1
"Then , today I received the manual and it is the worst nightmare in my life it has pages all technical English .",0
Kids Confuse English and Native Language,0
Why is that ?,1
We met here after years .,1
I saw windows falling down from upstairs .,1
I do not like raisins .,1
It is time to read some English News .,1
At that very moment she opened her eyes and smiled .,1
Some people argue that whether a person gambles or not is personal freedom .,1
I feel like playing guitar .,1
I get motivation a little .,1
But this summer is terrible .,1
The article seems a little old .,1
It is said to be the last and most beautiful beach in the world .,1
I felt sad as I remembered when she was in good health .,1
I really want to go back to China !,1
It is knock on my door,0
I like to read magazines in English .,1
It is useful when you drink it not often .,0
"I like rainig however just today was horibble because here was snow on the rord , then it is melt .",0
Hello everybody,0
It will be really tough .,1
"Now , I can handle general problems such as the computer was affected by poison or changed some computer hardwares and so on .",0
"There were many soft first flowers in the grass blow balls , daisies , rhododendrons .",1
"Sometimes , I really do think that Korean people are the laziest of all Asian races .",1
My English teacher gave me homework to describe three pictures .,1
Long time no see .,0
I made a group with people who are teachers and they helped me a bit .,1
"Oh , no ! !",0
"The people in the Joumon era invented an earthen vessel more than , years ago .",1
"However , as we stayed up late last night , we overslept in the morning .",1
"but I woke up , am .",0
I always try to understand English without translating .,1
Thank God it is Friday .,1
I hope it will be better later .,1
Because I concerned about somebody hate a shark in somewhere on Earth .,0
I would like to talk about ' comparing myself with others ' .,1
"SO , I am very happy to join this site .",1
Do not you think so ?,1
Is he famous and popular in Korea ?,1
Maybe that is because I am about to have a big exam in a few months .,1
I had seen the movie The DaVinci Code and also read already the novels The DaVinci Code and Angels Demons . I prefer Angels Demons than another one .,0
I was surprised to see many non - Japanese people there .,1
Sashimi in a market,0
"On the way to the top , I was tired and I stopped running .",1
Today I will write about myself and about the boring events that happen in my life .,1
"I like winter sports , especially snowboarding .",1
Japan won Australia in the final of the Asia Cup .,1
I translate Japanese sentences into English sentences .,1
I do not,1
Stuff is going to come home tomorrow .,1
you to do everything .,0
I like love the world,0
I have come to like it since I came to Canada .,1
I have been to Canberra for two months now and I am on my visitor is visa so I can not work .,1
"After she goes home , she spends all her time on eBay and sells and buys many things old trousers , armchair , lamp , a collection of flowerpots .",1
"In the English version , I can hardly follow what he says . , - ",1
i went to the bank and deposited my money .,1
I remember the day I came to Canada .,1
Other thing I wanted to say is that I started searching for penpals from anywhere in the world and I found some really nice girls .,1
Sudden text,0
drawing an icon,1
"And the last song , singing with everybody who sang and danced for me for the last .",1
"From here , I am goning to mention about chemistry , , ",0
Hey little train !,0
I am currently working as an engineer .,1
I passed by a brothel and I could see them sitting inside a big glass room .,1
hope you answer,0
"Hello , lang - users !",0
Cure or care,0
" , which caused big traffic jams every day , long car teams instead of big long bicycle teams !",1
We are cheerd up by them ! ! ! ! ! !,1
I thought A S from ASUS might be not good because it is made in china .,1
I want to go to France or Ireland someday so I hope to find in there countries .,0
Becaus I will take a picture of the wedding this Friday .,1
It was very interested .,0
"But , I really want to learn English well .",1
"After that , I did some shopping and I bought the food for tonight , drinks , snacks , the food for week .",0
show Buffy and as Piccoro from Dragonball Evolution last April .,1
"One day she told me , Today my roommates went out and took some pictures .",1
I am very angry .,1
Could you tell me about your opinions ?,1
Today I am going to write about my business trip .,1
Now I will introduce you AFN radio advertisement selection .,0
Oh no !,1
I started to chat with my Skype friends again .,1
My friend mother made us delicious food .,0
This change made the new influenza virus to infect human efficiency .,0
This liquid is never dangerous but is familiar to us .,1
I would say in the entry that I am traveling all over the world .,1
It was said that I would be able to work there as a Japanese teacher from April .,1
you may be able to understand and enjoy the elegance of,1
"So , I must learn it .",1
Cleaning with the Baking Powder,1
He is really fantastic !,1
I have not written my diary because I have been busy .,1
"I love TV , computer , wi - fi , elevator , car , air plane .",0
I think it is very interesting and funny holiday !,0
In the evening ?,1
travelog Sapporo Snow Festival,0
A bad cold has finally gone away !,1
So I will go see them ! !,1
It should be appreciated that people in my country have various religions .,1
"We are members of the ZZZZZ Interbusiness Research Institute , ",1
"Because , older peaple work till too late and somtimes go to work on holiday .",0
Are you wedding ?,0
Talking with Skype,0
He sent me an e - mail just now .,0
